   150/249      1.8G   0.01233  0.003426   0.01209   0.02785       151       224    0.9585    0.9953    0.9938    0.9356   0.01208   0.01179   0.06624
   151/249      1.8G   0.01222  0.003381   0.01217   0.02777       131       224    0.9874    0.9778    0.9946     0.938    0.0123   0.01158   0.05482
   152/249      1.8G   0.01218  0.003231   0.01113   0.02654       133       224    0.9679    0.9911    0.9939    0.9329   0.01264   0.01193   0.06009
   153/249      1.8G   0.01229   0.00322    0.0112   0.02671       123       224    0.9698    0.9865    0.9919    0.9315   0.01226   0.01084   0.07043
   154/249      1.8G   0.01242  0.003467   0.01168   0.02757       144       224    0.9284    0.9767    0.9732    0.9103   0.01231    0.0102    0.0675
   155/249      1.8G   0.01212  0.003331   0.01167   0.02712       131       224    0.9264    0.9773     0.986    0.9188   0.01257   0.01156   0.08679
   156/249      1.8G   0.01182  0.003517   0.01165   0.02699       148       224    0.9782    0.9803     0.991    0.9322   0.01212   0.01215   0.06629
   157/249      1.8G   0.01219  0.003423   0.01189    0.0275       159       224    0.9742    0.9538    0.9881    0.9296   0.01158   0.01151    0.0852
   158/249      1.8G   0.01222  0.003388   0.01205   0.02765       161       224    0.9283    0.9227    0.9732     0.907     0.012   0.01098   0.07678
   159/249      1.8G   0.01194  0.003332   0.01169   0.02696       142       224    0.9418    0.9438     0.975    0.9101   0.01205   0.01191   0.07788
   160/249      1.8G   0.01172  0.003344   0.01213   0.02719       131       224    0.9862    0.9594    0.9878    0.9295    0.0115   0.01249   0.07897
   161/249      1.8G   0.01186  0.003602   0.01168   0.02714       146       224    0.9549    0.9498    0.9828    0.9196   0.01169   0.01155   0.06758
   162/249      1.8G   0.01161  0.003459   0.01048   0.02555       150       224    0.9702    0.9399    0.9862    0.9253   0.01129   0.01257    0.0741
   163/249      1.8G   0.01183  0.003291    0.0111   0.02622       126       224    0.9785    0.9806    0.9926    0.9312   0.01173   0.01436   0.07668
   164/249      1.8G   0.01167  0.003482   0.01113   0.02628       161       224    0.9669    0.9729     0.991    0.9287   0.01172   0.01144   0.07147
   165/249      1.8G   0.01175  0.003333   0.01111   0.02619       130       224     0.969    0.9627    0.9902    0.9263   0.01176   0.01329   0.07561
   166/249      1.8G   0.01169  0.003256    0.0111   0.02604       140       224    0.9825    0.9724    0.9869    0.9255   0.01097    0.0141   0.07416
   167/249      1.8G   0.01165  0.003299   0.01089   0.02584       140       224    0.9675    0.9738    0.9887    0.9239   0.01113   0.01209   0.08278
   168/249      1.8G   0.01137  0.003229   0.01103   0.02563       134       224    0.9536    0.9799    0.9891     0.927   0.01084    0.0121   0.07868
   169/249      1.8G   0.01184  0.003436   0.01071   0.02598       147       224    0.9568      0.97    0.9875    0.9241   0.01185   0.01136   0.06972
   170/249      1.8G   0.01136  0.003226   0.01113   0.02572       121       224    0.9671    0.9852    0.9915    0.9327   0.01166   0.01172   0.07403
   171/249      1.8G   0.01144  0.003251   0.01031   0.02499       138       224    0.9605    0.9804    0.9885     0.927   0.01187   0.01242   0.06814
   172/249      1.8G   0.01145  0.003306   0.01075   0.02551       151       224    0.9735    0.9665    0.9868    0.9323   0.01139   0.01315   0.08549
   173/249      1.8G   0.01139  0.003468   0.01116   0.02602       133       224    0.9461    0.9865    0.9786      0.92   0.01094   0.01174   0.08723
   174/249      1.8G   0.01145  0.003242   0.01075   0.02544       152       224    0.9784    0.9662    0.9866    0.9244   0.01113   0.01221   0.07435
   175/249      1.8G   0.01138  0.003034   0.01022   0.02464       135       224    0.9757    0.9637    0.9884     0.925   0.01136   0.01241   0.07431
   176/249      1.8G   0.01138  0.003076   0.01042   0.02487       144       224    0.9852    0.9609    0.9895    0.9322   0.01071   0.01272   0.07806
   177/249      1.8G    0.0116  0.003161   0.01082   0.02558       140       224    0.9737    0.9594    0.9893    0.9317   0.01078    0.0127   0.08989
   178/249      1.8G    0.0113  0.003101   0.01056   0.02496       132       224     0.986    0.9647    0.9909    0.9326   0.01099   0.01219   0.08597
   179/249      1.8G   0.01136  0.003228   0.01068   0.02526       121       224    0.9862    0.9768    0.9927    0.9329   0.01102   0.01189   0.08063
