               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
110,0.59961,0.61247,1.1551,0.97558,0.96622,0.99214,0.93439,0.940165,0.44801,0.28181,1.0763,0.0056836,0.0056836,0.0056836
103,0.61574,0.65039,1.1629,0.93567,0.9798,0.99226,0.93429,0.940087,0.4579,0.31976,1.0866,0.0059608,0.0059608,0.0059608
119,0.60733,0.63003,1.1629,0.92262,0.98713,0.99063,0.9342,0.939843,0.47136,0.29875,1.0979,0.0053272,0.0053272,0.0053272
106,0.61116,0.64287,1.1606,0.97556,0.94439,0.99595,0.93358,0.939817,0.46277,0.29769,1.089,0.005842,0.005842,0.005842
128,0.5983,0.61727,1.162,0.97136,0.92652,0.98897,0.93429,0.939758,0.45366,0.31271,1.0826,0.0049708,0.0049708,0.0049708
87,0.63034,0.67292,1.1798,0.98308,0.97186,0.99455,0.93326,0.939389,0.456,0.29449,1.0834,0.0065944,0.0065944,0.0065944
72,0.64277,0.70469,1.1793,0.95867,0.95094,0.9934,0.93329,0.939301,0.46559,0.34234,1.0944,0.0071884,0.0071884,0.0071884
114,0.62044,0.6513,1.1632,0.96027,0.9601,0.99264,0.93306,0.939018,0.4604,0.2911,1.0885,0.0055252,0.0055252,0.0055252
92,0.62109,0.66253,1.1649,0.90407,0.99434,0.98723,0.93364,0.938999,0.46439,0.30715,1.0845,0.0063964,0.0063964,0.0063964
93,0.61745,0.65311,1.1638,0.95588,0.95465,0.99088,0.9329,0.938698,0.47182,0.33148,1.0921,0.0063568,0.0063568,0.0063568
89,0.61947,0.66135,1.1766,0.9723,0.92037,0.99171,0.93252,0.938439,0.44499,0.33387,1.0792,0.0065152,0.0065152,0.0065152
129,0.59602,0.59518,1.1557,0.97685,0.93237,0.99212,0.93229,0.938273,0.46345,0.29915,1.0897,0.0049312,0.0049312,0.0049312
101,0.61343,0.64898,1.1716,0.97519,0.96496,0.99637,0.93148,0.937969,0.46399,0.28969,1.0902,0.00604,0.00604,0.00604
65,0.65026,0.722,1.1783,0.9462,0.9574,0.99125,0.93197,0.937898,0.45478,0.30476,1.0887,0.0074656,0.0074656,0.0074656
88,0.64131,0.67758,1.164,0.97665,0.96121,0.99346,0.93089,0.937147,0.47315,0.29033,1.0988,0.0065548,0.0065548,0.0065548
95,0.63326,0.65001,1.1714,0.95442,0.8936,0.98891,0.93135,0.937106,0.4607,0.41383,1.0928,0.0062776,0.0062776,0.0062776
107,0.60018,0.63053,1.1562,0.97117,0.96536,0.99278,0.93032,0.936566,0.46402,0.30302,1.1005,0.0058024,0.0058024,0.0058024
132,0.59745,0.60138,1.1578,0.97504,0.93936,0.98958,0.92944,0.935454,0.45482,0.28688,1.0852,0.0048124,0.0048124,0.0048124
98,0.6045,0.64082,1.1425,0.96474,0.94601,0.99498,0.92879,0.935409,0.46469,0.29658,1.1082,0.0061588,0.0061588,0.0061588
100,0.61055,0.64799,1.1615,0.95924,0.96759,0.99295,0.92878,0.935197,0.46597,0.30748,1.0906,0.0060796,0.0060796,0.0060796
71,0.64347,0.69791,1.1732,0.97725,0.96089,0.9925,0.92865,0.935035,0.46503,0.30534,1.0927,0.007228,0.007228,0.007228
124,0.59901,0.57953,1.159,0.98508,0.95047,0.99497,0.92829,0.934958,0.47374,0.28609,1.0891,0.0051292,0.0051292,0.0051292
