               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
42,0.67929,0.80154,1.1961,0.91502,0.89115,0.9573,0.88986,0.896604,0.55175,0.43803,1.1049,0.0083764,0.0083764,0.0083764
56,0.66336,0.73967,1.1762,0.95978,0.8678,0.95934,0.88953,0.896511,0.58677,0.45271,1.1261,0.007822,0.007822,0.007822
31,0.71823,0.87887,1.2029,0.90331,0.91051,0.96096,0.88794,0.895242,0.55321,0.45096,1.1294,0.008812,0.008812,0.008812
28,0.71605,0.87756,1.2024,0.9042,0.91893,0.95659,0.8863,0.893329,0.52246,0.47086,1.0971,0.0089308,0.0089308,0.0089308
49,0.68401,0.78324,1.1829,0.88806,0.88406,0.95111,0.88658,0.893033,0.55818,0.48386,1.1248,0.0080992,0.0080992,0.0080992
30,0.71171,0.875,1.2117,0.88551,0.94902,0.96145,0.88535,0.89296,0.56562,0.45618,1.1286,0.0088516,0.0088516,0.0088516
45,0.68405,0.80049,1.1953,0.88982,0.93278,0.95116,0.88625,0.892741,0.50796,0.45182,1.1002,0.0082576,0.0082576,0.0082576
32,0.71179,0.87528,1.208,0.92454,0.91423,0.95598,0.88461,0.891747,0.53434,0.41343,1.1084,0.0087724,0.0087724,0.0087724
53,0.66796,0.75406,1.1806,0.93603,0.90541,0.9559,0.88456,0.891694,0.53673,0.39717,1.1052,0.0079408,0.0079408,0.0079408
37,0.69403,0.81421,1.1915,0.89711,0.85398,0.94853,0.88518,0.891515,0.54398,0.49064,1.1179,0.0085744,0.0085744,0.0085744
44,0.68686,0.76991,1.1879,0.93048,0.8354,0.95414,0.88324,0.89033,0.52707,0.52772,1.1126,0.0082972,0.0082972,0.0082972
48,0.67926,0.78129,1.1858,0.87391,0.88649,0.94225,0.88143,0.887512,0.52218,0.47963,1.1034,0.0081388,0.0081388,0.0081388
38,0.69572,0.8267,1.2044,0.91948,0.91843,0.96332,0.87905,0.887477,0.58087,0.45053,1.143,0.0085348,0.0085348,0.0085348
54,0.66673,0.75208,1.1923,0.90971,0.90778,0.9436,0.88001,0.886369,0.52445,0.47557,1.0914,0.0079012,0.0079012,0.0079012
51,0.65971,0.74337,1.1747,0.89265,0.91837,0.94504,0.8794,0.885964,0.51917,0.46269,1.102,0.00802,0.00802,0.00802
27,0.72685,0.89926,1.2102,0.89093,0.91799,0.95446,0.87294,0.881092,0.5714,0.46848,1.1306,0.0089704,0.0089704,0.0089704
33,0.7127,0.85571,1.2032,0.92154,0.88103,0.94632,0.87099,0.878523,0.56374,0.48013,1.1254,0.0087328,0.0087328,0.0087328
36,0.70113,0.82865,1.198,0.84396,0.94054,0.94125,0.87127,0.878268,0.5512,0.4631,1.139,0.008614,0.008614,0.008614
63,0.65291,0.71824,1.1727,0.85738,0.91802,0.92735,0.86586,0.872009,0.54999,0.58599,1.1244,0.0075448,0.0075448,0.0075448
47,0.66892,0.77585,1.1858,0.87698,0.89126,0.92683,0.86212,0.868591,0.54414,0.50992,1.1022,0.0081784,0.0081784,0.0081784
22,0.74842,0.96337,1.2271,0.86903,0.91801,0.94309,0.86027,0.868552,0.6103,0.48451,1.1759,0.0091684,0.0091684,0.0091684
40,0.68328,0.81747,1.1972,0.865,0.87718,0.92765,0.85976,0.866549,0.58955,0.60292,1.1516,0.0084556,0.0084556,0.0084556
35,0.70802,0.84818,1.2087,0.84212,0.89363,0.92659,0.8572,0.864139,0.57086,0.52979,1.1228,0.0086536,0.0086536,0.0086536
26,0.72647,0.91743,1.2093,0.83373,0.89597,0.91668,0.85122,0.857766,0.53939,0.53286,1.1367,0.00901,0.00901,0.00901
25,0.73775,0.90992,1.2135,0.87549,0.86582,0.93519,0.8472,0.855999,0.62938,0.60076,1.158,0.0090496,0.0090496,0.0090496
24,0.74229,0.94345,1.2152,0.89919,0.85389,0.93091,0.8442,0.852871,0.61945,0.51487,1.1582,0.0090892,0.0090892,0.0090892
16,0.7958,1.0753,1.2412,0.81927,0.88737,0.9131,0.84009,0.847391,0.57538,0.55001,1.1269,0.009406,0.009406,0.009406
21,0.76461,0.99706,1.2281,0.84912,0.89506,0.9065,0.83563,0.842717,0.54448,0.56972,1.1279,0.009208,0.009208,0.009208
15,0.81352,1.0908,1.2537,0.81095,0.8984,0.90463,0.82702,0.834781,0.63483,0.59296,1.1686,0.0094456,0.0094456,0.0094456
29,0.73139,0.89588,1.2119,0.84829,0.87448,0.90144,0.82582,0.833382,0.56709,0.65386,1.1385,0.0088912,0.0088912,0.0088912
20,0.76729,1.008,1.2358,0.85387,0.86425,0.89905,0.81993,0.827842,0.64466,0.59858,1.2019,0.0092476,0.0092476,0.0092476
18,0.77474,1.023,1.2465,0.85273,0.87248,0.90393,0.81938,0.827835,0.66259,0.54498,1.1873,0.0093268,0.0093268,0.0093268
